"indiv_id","sexF","consY","land","cattle51plus","smlstk101plus","buildingsMud","buildingsIron","vehicle","ageset2","ageset3","ageset4","educated","settlementYears","hhsize","olmareiHead","leadership"
264,0,0,39,0,1,2,1,0,0,1,0,0,40,11,1,0
265,0,0,15,0,1,1,0,1,0,0,0,0,29,7,1,1
266,0,0,90,1,1,0,4,0,0,0,0,1,21,8,0,0
267,1,1,150,0,0,0,2,0,0,0,0,1,6,6,0,0
268,1,1,100,0,0,1,0,0,0,1,0,0,9,6,0,0
269,1,1,80,0,0,1,0,0,0,1,0,0,32,5,0,1
270,1,1,130,0,0,0,1,1,0,0,0,0,8,7,0,1
271,1,1,120,0,0,1,0,0,0,0,0,0,9,6,0,0
272,1,1,180,0,0,1,1,1,0,0,1,0,32,8,0,1
273,1,1,150,0,0,1,0,0,0,1,0,0,11,7,0,0
274,1,1,150,0,0,1,1,1,0,0,0,0,12,5,0,1
275,1,1,150,0,0,1,0,0,0,0,1,0,30,8,0,0
276,1,1,130,0,0,1,0,0,0,0,1,0,28,7,0,0
277,1,1,90,0,0,1,1,1,0,0,0,0,6,4,0,0
278,1,1,95,1,1,1,2,1,0,1,0,1,4,6,0,1
279,1,1,85,1,1,2,1,0,0,0,0,0,3,7,0,0
280,1,1,150,1,1,1,1,1,0,0,0,0,6,10,0,0
281,1,1,150,1,0,1,1,0,0,0,0,0,10,6,0,0
282,0,0,85,0,1,1,1,1,0,0,0,1,9,9,1,0
283,0,0,180,0,0,1,1,0,0,0,0,1,34,28,0,0
284,0,0,320,1,1,0,0,0,0,0,0,0,5,21,0,0
285,0,0,50,0,0,1,2,0,0,1,0,0,18,6,1,0
286,0,0,40,0,0,1,1,0,0,0,0,0,27,5,1,0
287,0,0,62,0,0,3,2,0,0,0,0,1,11,9,1,0
288,0,0,0,0,1,1,2,1,0,0,0,1,28,9,1,0
289,0,0,465,1,1,1,1,1,0,0,0,1,35,22,0,0
290,0,0,80,0,1,2,1,0,0,0,0,0,52,22,1,0
291,0,0,150,1,1,0,0,0,0,0,0,1,12,25,0,0
292,1,1,120,0,0,1,1,0,0,0,1,0,30,8,0,1
293,1,1,180,0,0,1,0,0,0,0,1,0,32,9,0,1
294,1,1,120,0,0,1,0,0,0,0,0,0,9,6,0,0
295,1,1,130,0,0,1,0,0,0,1,0,0,17,9,0,0
296,1,1,150,0,0,1,0,0,0,0,1,0,22,9,0,0
297,1,1,120,0,0,1,0,0,0,1,0,0,13,8,0,0
298,1,1,80,0,0,1,0,0,0,0,1,0,37,5,0,0
299,1,1,80,0,0,1,0,0,0,1,0,0,20,5,0,0
300,1,1,100,0,0,0,1,0,0,0,0,0,10,6,0,0
301,1,1,120,0,0,1,0,0,0,0,0,0,21,7,0,0
302,0,0,10,0,0,1,1,0,0,0,0,0,20,10,1,0
303,0,0,50,0,1,1,3,0,0,0,0,0,13,29,1,0
304,0,0,60,0,0,1,1,0,0,0,1,0,40,6,1,0
305,0,0,310,1,0,0,0,0,0,0,0,0,21,14,0,1
306,1,0,50,0,0,1,1,0,0,0,1,0,30,10,1,1
307,0,0,150,0,0,0,1,0,0,0,0,1,1,2,1,0
308,0,0,30,1,0,0,1,0,0,0,0,0,22,3,1,1
309,0,0,50,0,0,1,1,1,0,0,0,1,24,4,1,0
310,0,0,10,0,0,0,2,0,0,0,0,0,34,5,1,0
311,0,0,57,1,1,0,1,1,0,0,0,0,9,10,1,0
312,1,1,80,0,0,1,0,0,0,0,1,0,31,6,0,0
313,1,1,120,0,0,0,1,0,0,0,0,0,10,5,0,1
314,1,1,120,0,0,1,0,0,0,1,0,0,16,7,0,0
315,1,1,80,0,0,0,1,0,0,0,0,0,10,6,0,0
316,1,1,130,0,0,1,0,0,0,1,0,0,18,6,0,0
317,1,1,120,0,0,1,0,0,0,1,0,0,16,7,0,0
318,1,1,140,0,0,0,1,0,0,1,0,0,28,7,0,1
319,1,1,120,0,0,0,1,0,0,1,0,0,32,7,0,0
320,1,1,180,0,0,1,0,0,0,0,0,0,27,8,0,0
321,1,1,120,0,0,1,0,0,0,1,0,0,16,5,0,0
322,0,1,76,0,1,0,1,1,0,0,0,1,10,5,1,0
323,0,1,150,0,0,1,1,1,0,0,0,0,30,12,1,0
324,0,1,210,1,1,0,2,1,0,0,0,1,33,7,1,1
325,0,1,100,0,0,0,2,0,0,1,0,0,52,6,1,0
326,0,1,194,1,1,1,1,1,0,0,0,0,36,9,1,0
327,0,1,313,0,1,3,2,0,0,0,0,1,8,14,0,1
328,0,1,180,1,1,0,2,0,0,0,0,0,35,8,1,0
329,0,1,105,0,0,1,0,0,0,0,0,0,25,6,1,0
330,0,1,230,0,0,0,2,0,0,0,0,0,30,10,1,1
331,0,1,190,0,1,0,4,1,0,0,0,0,33,14,1,1
332,1,1,170,0,0,0,1,1,0,0,1,0,21,8,0,1
333,1,1,150,0,0,0,1,0,0,0,0,0,16,6,0,0
334,1,1,150,0,0,0,1,0,0,0,0,0,13,5,0,1
335,1,1,150,0,0,0,1,1,0,0,0,0,7,5,0,1
336,1,1,130,0,0,0,1,0,0,0,0,0,11,7,0,0
337,1,1,170,0,0,1,1,1,0,0,1,0,25,6,0,0
338,1,1,180,0,0,0,1,1,0,1,0,1,7,6,0,1
339,1,1,170,0,0,1,1,0,0,0,1,0,28,7,0,0
340,1,1,170,0,0,0,1,1,0,0,1,0,30,6,0,0
341,1,1,170,0,0,0,1,1,0,0,1,0,19,7,0,0
342,0,1,130,0,1,1,1,0,0,0,0,1,41,5,1,1
343,0,1,150,0,1,2,0,0,0,0,0,0,37,12,1,0
344,0,1,155,1,1,1,2,0,0,0,0,1,38,13,1,0
345,0,1,240,1,1,2,2,0,0,1,0,0,48,12,1,0
346,0,1,270,1,1,1,1,0,0,0,0,0,30,9,1,0
347,0,1,95,1,1,0,1,0,0,0,0,0,27,10,1,0
348,0,1,160,0,0,1,1,0,0,0,0,0,28,6,1,0
349,0,1,180,1,1,0,5,0,0,0,1,0,68,43,1,1
350,0,1,150,1,1,3,0,0,0,0,1,0,60,18,1,0
351,0,1,350,1,1,0,1,0,0,0,0,0,40,14,1,0
352,0,1,159,1,0,1,1,0,0,1,0,0,46,14,1,0
353,0,1,162,0,0,0,2,0,0,0,0,0,46,20,1,0
354,1,1,150,0,0,1,0,0,0,1,0,0,23,7,1,1
355,0,1,300,1,1,0,6,1,0,0,1,0,46,28,1,0
356,0,1,170,1,1,1,0,0,0,1,0,0,30,6,1,0
357,0,1,160,1,1,1,2,1,0,0,0,1,23,12,1,0
358,1,1,160,1,1,0,2,0,1,0,0,1,21,8,1,1
359,0,1,49.5,0,1,2,0,0,0,0,0,0,37,11,1,0
360,0,1,44,1,1,1,1,0,0,0,0,0,30,7,1,0
361,0,1,267,0,1,1,0,0,0,0,0,0,64,20,1,0
362,0,1,35,0,0,1,0,0,0,0,0,0,18,6,0,0
363,0,1,99,1,0,1,1,0,0,0,0,0,22,8,0,0
364,0,1,43,1,1,1,0,0,0,0,0,0,48,12,1,0
365,0,1,185,1,0,2,2,0,0,0,1,0,70,24,1,0
366,0,1,36,0,0,1,1,0,0,0,0,0,6,5,1,0
367,0,1,73,1,0,1,0,0,0,0,0,0,28,23,0,1
368,0,1,83.5,0,0,0,2,1,0,0,0,1,25,5,1,0
369,0,0,45,0,0,1,0,0,0,0,0,0,48,13,1,0
370,0,0,35,0,0,3,1,0,0,1,0,0,40,20,1,0
371,0,0,35,0,0,1,0,0,0,0,0,0,32,3,1,0
372,0,0,40,1,0,1,1,0,0,0,0,0,20,9,1,0
373,0,0,30,0,0,0,1,0,0,0,0,0,22,8,0,0
374,0,0,0,0,0,2,0,0,0,0,0,0,12,14,0,0
375,0,0,140,0,0,3,1,0,0,0,1,0,20,18,1,0
376,0,0,20,0,0,1,0,0,0,0,0,0,44,10,1,0
377,0,0,35,0,0,2,1,0,0,1,0,0,51,15,1,1
378,0,0,40,0,0,1,1,0,0,0,0,1,40,7,1,1
379,0,0,320,1,1,1,1,0,0,0,1,0,55,30,1,0
380,0,0,55,0,0,2,0,0,0,0,0,0,5,12,1,0
381,0,0,0,1,0,0,0,0,0,0,0,0,24,4,1,0
382,0,0,0,0,0,1,0,0,0,0,0,0,27,5,1,1
383,0,0,90,0,0,1,0,0,0,0,0,0,35,7,1,0
384,0,0,11,0,0,1,1,0,0,0,0,0,18,6,1,0
385,0,0,0,0,0,1,0,0,0,1,0,0,15,6,1,0
386,0,0,50,1,0,1,0,0,0,0,0,0,6,18,1,0
387,0,0,0,0,0,1,0,0,0,1,0,0,20,0,1,0
388,0,0,9,1,0,1,0,0,0,0,0,0,8,6,1,0
