"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
0,1,0,1,-1,5,0,-6000,371,11
1,1,-60,0,-1,0,0,6000,371,10
1,0,-60,-1,1,-5,0,4000,371,14
0,1,0,-1,0,0,-200,0,371,15
0,0,-40,-1,1,-5,0,-4000,372,13
0,0,60,1,0,0,120,0,372,12
1,1,0,1,-1,5,0,-6000,372,11
1,1,100,0,1,0,-200,0,372,16
0,0,-60,-1,1,-5,0,4000,372,14
1,1,0,-1,0,0,-200,0,372,15
1,1,-60,0,-1,0,0,6000,372,10
0,0,60,0,-1,-5,80,4000,372,9
0,0,-60,-1,1,-5,0,4000,373,14
0,0,60,0,-1,-5,80,4000,373,9
0,0,60,1,0,0,120,0,373,12
1,0,-40,-1,1,-5,0,-4000,373,13
1,1,-60,0,-1,0,0,6000,373,10
0,1,100,0,1,0,-200,0,373,16
1,1,0,1,-1,5,0,-6000,373,11
1,1,0,-1,0,0,-200,0,373,15
1,1,-60,0,-1,0,0,6000,374,10
1,1,100,0,1,0,-200,0,374,16
1,1,0,1,-1,5,0,-6000,374,11
0,0,-60,-1,1,-5,0,4000,374,14
0,1,0,-1,0,0,-200,0,374,15
1,0,60,0,-1,-5,80,4000,374,9
0,0,-40,-1,1,-5,0,-4000,374,13
1,0,60,1,0,0,120,0,374,12
1,0,-60,-1,1,-5,0,4000,375,14
1,0,60,0,-1,-5,80,4000,375,9
1,0,-40,-1,1,-5,0,-4000,375,13
1,0,60,1,0,0,120,0,375,12
1,1,100,0,1,0,-200,0,375,16
1,1,-60,0,-1,0,0,6000,375,10
1,1,0,1,-1,5,0,-6000,375,11
1,1,0,-1,0,0,-200,0,375,15
0,1,100,0,1,0,-200,0,376,16
1,1,-60,0,-1,0,0,6000,376,10
0,1,0,1,-1,5,0,-6000,376,11
1,1,0,-1,0,0,-200,0,376,15
0,0,60,0,-1,-5,80,4000,376,9
1,0,-60,-1,1,-5,0,4000,376,14
0,0,-40,-1,1,-5,0,-4000,376,13
0,0,60,1,0,0,120,0,376,12
0,0,-40,-1,1,-5,0,-4000,377,13
0,0,60,0,-1,-5,80,4000,377,9
1,1,100,0,1,0,-200,0,377,16
1,0,-60,-1,1,-5,0,4000,377,14
1,1,0,-1,0,0,-200,0,377,15
0,1,-60,0,-1,0,0,6000,377,10
0,1,0,1,-1,5,0,-6000,377,11
0,0,60,1,0,0,120,0,377,12
0,0,60,0,-1,-5,80,4000,378,9
1,1,0,-1,0,0,-200,0,378,15
1,0,60,1,0,0,120,0,378,12
1,1,0,1,-1,5,0,-6000,378,11
1,0,-60,-1,1,-5,0,4000,378,14
0,0,-40,-1,1,-5,0,-4000,378,13
1,1,-60,0,-1,0,0,6000,378,10
1,1,100,0,1,0,-200,0,378,16
0,0,-60,-1,1,5,0,0,379,1
0,0,0,0,0,-5,-80,10000,379,4
1,-1,100,0,0,0,0,-4000,379,2
1,0,40,1,0,0,80,10000,379,5
0,-1,-40,0,0,5,0,0,379,3
1,0,0,0,1,5,0,-10000,379,6
0,-1,0,1,-1,0,0,-10000,379,7
0,-1,-100,0,-1,0,200,0,379,8
1,0,60,0,-1,-5,80,4000,380,9
0,0,-60,-1,1,-5,0,4000,380,14
1,1,100,0,1,0,-200,0,380,16
1,0,60,1,0,0,120,0,380,12
0,1,-60,0,-1,0,0,6000,380,10
0,1,0,1,-1,5,0,-6000,380,11
0,0,-40,-1,1,-5,0,-4000,380,13
0,1,0,-1,0,0,-200,0,380,15
1,-1,100,0,0,0,0,-4000,381,2
1,0,0,0,1,5,0,-10000,381,6
0,0,0,0,0,-5,-80,10000,381,4
0,-1,-40,0,0,5,0,0,381,3
1,0,-60,-1,1,5,0,0,381,1
0,-1,0,1,-1,0,0,-10000,381,7
1,0,40,1,0,0,80,10000,381,5
0,-1,-100,0,-1,0,200,0,381,8
0,0,-60,-1,1,-5,0,4000,382,14
0,1,100,0,1,0,-200,0,382,16
1,1,0,1,-1,5,0,-6000,382,11
0,1,0,-1,0,0,-200,0,382,15
0,0,60,0,-1,-5,80,4000,382,9
0,0,-40,-1,1,-5,0,-4000,382,13
0,1,-60,0,-1,0,0,6000,382,10
1,0,60,1,0,0,120,0,382,12
1,-1,100,0,0,0,0,-4000,383,2
1,0,0,0,1,5,0,-10000,383,6
0,-1,-40,0,0,5,0,0,383,3
0,0,0,0,0,-5,-80,10000,383,4
0,-1,0,1,-1,0,0,-10000,383,7
0,0,-60,-1,1,5,0,0,383,1
0,-1,-100,0,-1,0,200,0,383,8
1,0,40,1,0,0,80,10000,383,5
0,0,-60,-1,1,-5,0,4000,384,14
1,1,0,1,-1,5,0,-6000,384,11
0,1,0,-1,0,0,-200,0,384,15
1,0,60,0,-1,-5,80,4000,384,9
0,0,-40,-1,1,-5,0,-4000,384,13
1,1,-60,0,-1,0,0,6000,384,10
1,1,100,0,1,0,-200,0,384,16
1,0,60,1,0,0,120,0,384,12
0,-1,-40,0,0,5,0,0,385,3
1,-1,100,0,0,0,0,-4000,385,2
0,-1,0,1,-1,0,0,-10000,385,7
1,0,0,0,1,5,0,-10000,385,6
0,0,-60,-1,1,5,0,0,385,1
1,-1,-100,0,-1,0,200,0,385,8
0,0,0,0,0,-5,-80,10000,385,4
1,0,40,1,0,0,80,10000,385,5
1,1,0,1,-1,5,0,-6000,386,11
1,0,60,0,-1,-5,80,4000,386,9
0,0,-40,-1,1,-5,0,-4000,386,13
0,1,-60,0,-1,0,0,6000,386,10
0,1,0,-1,0,0,-200,0,386,15
0,0,-60,-1,1,-5,0,4000,386,14
1,0,60,1,0,0,120,0,386,12
1,1,100,0,1,0,-200,0,386,16
