age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
47.0	2	4	40	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.036	1.5357928
30.0	2	2	40	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.036	1.5357928
38.0	1	3	5	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	3.0	0.062	1.3673279
24.0	3	3	6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.072	0.91439027
58.0	2	4	6	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.072	0.91439027
50.0	3	5	6	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0		0.072	0.91439027
		1	9	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.053000003	1.812191
66.0	2	1	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
63.0	1	3	5	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.062	1.3673279
91.0	1	3	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
36.0	2	3	12	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
53.0	2	4	13	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
25.0	3	3	41	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.061	1.558064
36.0	2	4	40	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.036	1.5357928
49.0	2	3	56	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.03	2.6138167
78.0	1	1	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.036	1.5357928
61.0	1	1	1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.059	2.665316
42.0	4	4	1	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.059	2.665316
84.0		1	17	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
26.0	2	3	17	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
18.0	2	3	17	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.06	1.37532
42.0	4	4	17	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
24.0	3	3	17	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
20.0	3	3	17	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.06	1.37532
76.0	1	2	17	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
85.0	1	1	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.048	1.0654421
32.0	2	4	55	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.048	1.0654421
36.0	4	5	17	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
52.0	4	3	17	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	0.06	1.37532
79.0	1	3	5	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0		0.062	1.3673279
30.0	2	3	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	0.062	1.3673279
